%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 1 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 79.00 -3.60 98.38 0.00 0.00 -999.00 266.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 120.00
1985 1 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.60000 77.00 -2.70 98.34 0.00 0.00 -999.00 262.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 1 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 76.00 -2.20 98.30 0.00 0.00 -999.00 272.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 1 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 74.00 -1.90 98.24 0.00 0.00 -999.00 273.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 1 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 74.00 -2.00 98.18 0.00 0.00 -999.00 273.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 1 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 73.00 -2.00 98.12 0.00 0.00 -999.00 273.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 1 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.60000 75.00 -2.20 98.05 0.00 0.00 -999.00 264.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 1 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.60000 76.00 -2.50 98.05 0.00 0.00 -999.00 263.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 1 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 73.00 -1.80 97.99 0.00 0.00 -999.00 266.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 1 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 74.00 -1.80 97.97 0.00 88.00 -999.00 266.00 -999.00 -999.00 -999.00 -999.00 65.00 153.00 90.00
1985 1 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 71.00 -0.80 97.95 0.00 98.00 -999.00 271.00 -999.00 -999.00 -999.00 -999.00 89.00 39.00 90.00
1985 1 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 68.00 0.10 97.81 0.00 133.00 -999.00 265.00 -999.00 -999.00 -999.00 -999.00 117.00 61.00 110.00
1985 1 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 67.00 0.70 97.70 0.00 171.00 -999.00 260.00 -999.00 -999.00 -999.00 -999.00 127.00 159.00 100.00
1985 1 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 64.00 0.70 97.64 0.00 142.00 -999.00 261.00 -999.00 -999.00 -999.00 -999.00 108.00 144.00 90.00
1985 1 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 66.00 0.70 97.56 0.00 99.00 -999.00 277.00 -999.00 -999.00 -999.00 -999.00 65.00 201.00 80.00
1985 1 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 69.00 0.40 97.54 0.00 15.00 -999.00 276.00 -999.00 -999.00 -999.00 -999.00 15.00 0.00 80.00
1985 1 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 68.00 0.40 97.51 0.00 0.00 -999.00 276.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 1 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.70000 66.00 0.90 97.47 0.00 0.00 -999.00 278.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 100.00
1985 1 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.60000 69.00 0.60 97.41 0.00 0.00 -999.00 285.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 1 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 72.00 0.40 97.40 0.00 0.00 -999.00 285.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 1 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 72.00 0.70 97.39 0.00 0.00 -999.00 286.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 1 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 68.00 1.50 97.36 0.00 0.00 -999.00 290.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 1 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.10000 77.00 1.40 97.34 0.00 0.00 -999.00 290.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 2 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.70000 76.00 1.50 97.32 0.00 0.00 -999.00 291.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 2 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.70000 80.00 1.10 97.27 0.00 0.00 -999.00 282.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
1985 2 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 82.00 1.20 97.26 0.00 0.00 -999.00 282.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
